society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
ambience creacions,6.0,sector 22,2053.0,4,5,3+,10.0,New Property,flat,3333.0,0,1,0,1,0,2,49
m3m woodshire,1.0,sector 107,750.0,2,2,3,0.0,Relatively New,flat,1281.0,1,0,0,0,0,1,29
satya the legend,9.25,sector 57,16577.0,5,5,3+,4.0,Relatively New,house,5580.0,1,1,1,1,0,2,160
vatika gurgaon,0.07,sector 83,627.0,2,2,2,3.0,Relatively New,flat,850.0,1,0,0,1,0,2,165
dlf the arbour,8.5,sector 63,21519.0,4,4,3+,27.0,New Property,house,3950.0,0,0,0,0,0,1,61
m3m golfestate,1.0,sector 79,1000.0,2,2,2,4.0,Relatively New,flat,1556.0,1,1,1,0,0,0,83
bajrang apartments,0.03,sector 6,447.0,2,2,2,1.0,Moderately Old,flat,944.0,0,0,0,0,0,1,0
signature global city 81,0.75,sector 81,6849.0,3,2,3,4.0,Under Construction,house,1095.0,1,0,0,0,0,1,97
microtek greenburg,1.0,sector 86,845.0,3,4,3,12.0,Relatively New,flat,2068.0,0,1,0,0,0,1,72
smart world orchard,2.0,sector 61,1479.0,3,3,3,2.0,New Property,flat,1630.0,0,0,0,0,0,2,61
signature global park,0.05,sohna road,669.0,2,2,3,3.0,Relatively New,flat,913.0,0,0,0,0,0,1,58
bestech park view city,2.0,sector 48,1171.0,3,3,3+,7.0,Relatively New,flat,2000.0,1,1,0,0,0,2,174
pareena coban residences,1.0,sector 99a,616.0,3,5,3,5.0,Relatively New,flat,1807.0,0,1,0,0,0,1,99
dlf regal gardens,1.0,sector 90,794.0,4,4,3+,8.0,Relatively New,flat,2020.0,0,0,0,0,0,2,135
raheja vedaanta,0.08,sector 108,408.0,3,3,3,9.0,Relatively New,flat,1663.0,0,0,0,1,0,1,174
spectrum centre,0.06,sector 82a,954.0,1,1,0,6.0,Relatively New,flat,650.0,0,0,0,0,0,1,0
mapsko paradise,0.07,sector 83,560.0,3,3,3,10.0,New Property,flat,1162.0,0,0,0,0,1,2,49
unitech escape,12.0,sector 50,37037.0,5,6,3+,3.0,Moderately Old,house,3240.0,0,0,0,0,0,1,66
tulip monsella,7.0,sector 53,3320.0,4,4,3,21.0,Under Construction,flat,2477.0,0,0,0,0,0,1,35
independent,0.55,sector 4,6815.0,2,1,1,1.0,Moderately Old,house,75.0,0,0,0,0,0,1,0
shree vardhman flora,0.07,sector 90,461.0,2,2,3,9.0,New Property,flat,1224.0,1,0,0,0,1,1,51
umang winter hills,1.0,sector 77,750.0,2,2,2,3.0,New Property,flat,1489.0,0,0,0,0,0,1,74
independent,9.5,sector 17,23457.0,8,8,3,3.0,Relatively New,house,4050.0,1,0,0,0,0,2,27
chintamani,1.0,sector 103,851.0,3,3,3,1.0,Relatively New,flat,1845.0,0,0,0,0,0,1,0
tulip violet,1.0,sector 69,889.0,2,3,1,0.0,Relatively New,flat,1222.0,0,0,0,0,0,1,150
tulip violet,1.0,sector 69,891.0,3,3,1,12.0,Relatively New,flat,1392.0,0,0,0,0,0,1,116
dlf the icon,6.0,sector 43,2609.0,4,4,3+,18.0,Old Property,flat,2556.0,0,1,0,0,0,2,150
independent,23.0,sector 26,25556.0,4,4,3+,2.0,Relatively New,house,9000.0,1,1,1,1,0,2,145
ss the leaf,1.0,sector 85,685.0,3,4,3,9.0,New Property,flat,2179.0,0,0,0,1,0,1,21
orris carnation residency,0.07,sector 85,486.0,3,4,3,4.0,Relatively New,flat,1390.0,0,1,0,0,0,2,40
hcbs sports ville,0.02,sohna road,435.0,2,2,2,10.0,Relatively New,flat,619.0,0,0,0,0,0,1,43
prime habitat,0.02,sector 99a,543.0,2,2,1,4.0,New Property,flat,552.0,0,0,0,0,0,1,7
shapoorji pallonji joyville gurugram,2.0,sector 102,1696.0,3,3,3,9.0,Relatively New,flat,1852.0,0,0,0,0,0,1,72
paras dews,1.0,sector 106,742.0,3,3,3,11.0,Relatively New,flat,1650.0,0,1,0,1,0,2,174
independent,7.0,sector 82,21605.0,4,4,3+,1.0,Relatively New,house,3240.0,1,1,0,1,0,2,49
smart world orchard,2.0,sector 61,1550.0,3,3,3,2.0,Under Construction,flat,1822.0,0,0,1,0,0,1,16
independent,3.55,sector 46,24500.0,5,4,3+,3.0,Moderately Old,house,1449.0,0,1,0,0,0,2,73
independent,2.25,sector 13,6944.0,10,10,2,1.0,Old Property,house,400.0,0,0,0,0,0,1,0
dlf alameda,17.0,sector 73,35109.0,5,8,3,3.0,Relatively New,house,9000.0,1,1,1,1,0,0,87
bptp terra,1.0,sector 37d,821.0,4,3,3,12.0,Relatively New,flat,1983.0,1,0,0,0,0,2,144
paras quartier,5.0,gwal pahari,1103.0,4,4,3+,19.0,New Property,flat,4842.0,1,1,1,1,0,2,160
viridian the plaza 106,0.03,sector 106,557.0,1,1,1,7.0,Relatively New,flat,567.0,0,0,0,0,0,1,130
independent,1.39,sector 28,11583.0,2,2,1,3.0,Old Property,house,1450.0,0,0,1,0,0,1,37
experion windchants,5.0,sector 112,1158.0,4,5,3+,5.0,Relatively New,flat,3655.35,0,1,0,0,0,2,168
bptp terra,1.0,sector 37d,950.0,3,3,3,9.0,Relatively New,flat,1373.0,1,0,0,0,0,2,24
independent,0.4,sector 3 phase 2,8000.0,2,1,0,1.0,Relatively New,house,500.0,0,0,0,0,0,1,0
independent,8.0,sector 56,9654.0,10,10,3+,4.0,Relatively New,house,8286.0,1,1,0,1,0,0,107
prime habitat,0.02,sector 99a,604.0,2,2,1,10.0,Relatively New,flat,498.0,0,0,0,0,0,1,67
adani brahma samsara vilasa,3.0,sector 63,1667.0,3,3,3,3.0,New Property,flat,2000.0,0,0,0,0,0,1,24
palam vihar extension west zone rwa,0.02,sector 2,400.0,1,1,1,1.0,Moderately Old,flat,556.0,0,0,0,0,1,1,0
ss the leaf,2.0,sector 85,830.0,3,4,3,8.0,Relatively New,flat,2179.0,0,1,0,0,0,1,21
tulip violet,1.0,sector 69,887.0,3,3,2,11.0,Relatively New,flat,1428.0,0,0,0,1,0,1,126
tata primanti,3.0,sector 72,1325.0,4,5,3+,13.0,Relatively New,flat,2629.0,0,1,0,0,0,2,174
indiabulls enigma,3.0,sector 110,1026.0,4,5,3,7.0,Relatively New,flat,3077.0,0,1,0,0,0,1,165
independent,3.5,sector 9,13410.0,9,9,3+,3.0,Relatively New,house,2610.0,1,0,0,0,0,1,23
vatika independent floors,0.06,sector 82,583.0,2,2,3,2.0,Moderately Old,flat,1150.0,0,0,0,0,0,1,53
independent,0.53,sector 7,5889.0,2,2,0,1.0,Old Property,house,900.0,0,0,0,0,0,1,0
independent,5.1,sector 23,16569.0,3,2,0,1.0,Old Property,house,3078.0,0,0,0,0,1,1,27
signature global the millennia,0.06,sector 37d,1091.0,2,2,3,0.0,New Property,flat,625.0,0,0,0,0,0,1,40
ats tourmaline,1.0,sector 109,814.0,3,4,3+,9.0,Relatively New,flat,1946.0,0,1,0,0,0,1,94
microtek greenburg,1.0,sector 86,831.0,2,2,3,13.0,Relatively New,flat,1339.0,1,0,0,0,0,1,6
orchid island,0.07,sector 51,789.0,2,2,1,4.0,Relatively New,flat,1007.0,0,0,0,0,0,1,23
smart world gems,0.08,sector 89,780.0,2,3,2,4.0,New Property,flat,1226.0,1,1,0,1,0,2,72
sidhartha ncr one,0.05,sector 95,556.0,2,2,3,15.0,Relatively New,flat,990.0,0,0,0,0,0,1,0
