sector,bedRoom,bathroom,balcony,agePossession,property_type,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
27.0,4,5,4.0,1.0,0.0,3333.0,1,0,2,0.0,2.0,6.0
9.0,2,2,3.0,3.0,0.0,1281.0,0,0,1,0.0,1.0,1.0
64.0,5,5,4.0,3.0,1.0,5580.0,1,1,2,2.0,2.0,9.25
95.0,2,2,2.0,3.0,0.0,850.0,0,0,2,2.0,2.0,0.07
71.0,4,4,4.0,1.0,1.0,3950.0,0,0,1,1.0,0.0,8.5
89.0,2,2,2.0,3.0,0.0,1556.0,1,1,0,1.0,2.0,1.0
67.0,2,2,2.0,0.0,0.0,944.0,0,0,1,0.0,1.0,0.03
92.0,3,2,3.0,4.0,1.0,1095.0,0,0,1,1.0,2.0,0.75
98.0,3,4,3.0,3.0,0.0,2068.0,1,0,1,1.0,0.0,1.0
69.0,3,3,3.0,1.0,0.0,1630.0,0,0,2,1.0,1.0,2.0
111.0,2,2,3.0,3.0,0.0,913.0,0,0,1,1.0,2.0,0.05
54.0,3,3,4.0,3.0,0.0,2000.0,1,0,2,2.0,2.0,2.0
109.0,3,5,3.0,3.0,0.0,1807.0,1,0,1,1.0,2.0,1.0
103.0,4,4,4.0,3.0,0.0,2020.0,0,0,2,1.0,2.0,1.0
10.0,3,3,3.0,3.0,0.0,1663.0,0,0,1,2.0,2.0,0.08
94.0,1,1,0.0,3.0,0.0,650.0,0,0,1,0.0,2.0,0.06
95.0,3,3,3.0,1.0,0.0,1162.0,0,0,2,0.0,2.0,0.07
57.0,5,6,4.0,0.0,1.0,3240.0,0,0,1,1.0,2.0,12.0
60.0,4,4,3.0,4.0,0.0,2477.0,0,0,1,0.0,0.0,7.0
47.0,2,1,1.0,0.0,1.0,75.0,0,0,1,0.0,1.0,0.55
103.0,2,2,3.0,1.0,0.0,1224.0,0,0,1,1.0,2.0,0.07
87.0,2,2,2.0,1.0,0.0,1489.0,0,0,1,1.0,2.0,1.0
22.0,8,8,3.0,3.0,1.0,4050.0,0,0,2,0.0,2.0,9.5
5.0,3,3,3.0,3.0,0.0,1845.0,0,0,1,0.0,1.0,1.0
78.0,2,3,1.0,3.0,0.0,1222.0,0,0,1,2.0,1.0,1.0
78.0,3,3,1.0,3.0,0.0,1392.0,0,0,1,1.0,0.0,1.0
50.0,4,4,4.0,2.0,0.0,2556.0,1,0,2,2.0,0.0,6.0
31.0,4,4,4.0,3.0,1.0,9000.0,1,1,2,1.0,1.0,23.0
97.0,3,4,3.0,1.0,0.0,2179.0,0,0,1,0.0,2.0,1.0
97.0,3,4,3.0,3.0,0.0,1390.0,1,0,2,0.0,2.0,0.07
111.0,2,2,2.0,3.0,0.0,619.0,0,0,1,0.0,2.0,0.02
109.0,2,2,1.0,1.0,0.0,552.0,0,0,1,0.0,2.0,0.02
4.0,3,3,3.0,3.0,0.0,1852.0,0,0,1,1.0,2.0,2.0
8.0,3,3,3.0,3.0,0.0,1650.0,1,0,2,2.0,0.0,1.0
93.0,4,4,4.0,3.0,1.0,3240.0,1,0,2,0.0,1.0,7.0
69.0,3,3,3.0,4.0,0.0,1822.0,0,1,1,0.0,1.0,2.0
52.0,5,4,4.0,0.0,1.0,1449.0,1,0,2,1.0,2.0,3.55
19.0,10,10,2.0,2.0,1.0,400.0,0,0,1,0.0,1.0,2.25
84.0,5,8,3.0,3.0,1.0,9000.0,1,1,0,1.0,2.0,17.0
44.0,4,3,3.0,3.0,0.0,1983.0,0,0,2,1.0,0.0,1.0
1.0,4,4,4.0,1.0,0.0,4842.0,1,1,2,2.0,0.0,5.0
8.0,1,1,1.0,3.0,0.0,567.0,0,0,1,1.0,2.0,0.03
33.0,2,2,1.0,2.0,1.0,1450.0,0,1,1,0.0,2.0,1.39
16.0,4,5,4.0,3.0,0.0,3655.35,1,0,2,2.0,2.0,5.0
44.0,3,3,3.0,3.0,0.0,1373.0,0,0,2,0.0,2.0,1.0
35.0,2,1,0.0,3.0,1.0,500.0,0,0,1,0.0,1.0,0.4
63.0,10,10,4.0,3.0,1.0,8286.0,1,0,0,1.0,2.0,8.0
109.0,2,2,1.0,3.0,0.0,498.0,0,0,1,1.0,2.0,0.02
71.0,3,3,3.0,1.0,0.0,2000.0,0,0,1,0.0,2.0,3.0
25.0,1,1,1.0,0.0,0.0,556.0,0,0,1,0.0,1.0,0.02
97.0,3,4,3.0,3.0,0.0,2179.0,1,0,1,0.0,2.0,2.0
78.0,3,3,2.0,3.0,0.0,1428.0,0,0,1,1.0,0.0,1.0
83.0,4,5,4.0,3.0,0.0,2629.0,1,0,2,2.0,0.0,3.0
14.0,4,5,3.0,3.0,0.0,3077.0,1,0,1,2.0,2.0,3.0
102.0,9,9,4.0,3.0,1.0,2610.0,0,0,1,0.0,2.0,3.5
93.0,2,2,3.0,0.0,0.0,1150.0,0,0,1,1.0,1.0,0.06
79.0,2,2,0.0,2.0,1.0,900.0,0,0,1,0.0,1.0,0.53
28.0,3,2,0.0,2.0,1.0,3078.0,0,0,1,0.0,1.0,5.1
44.0,2,2,3.0,1.0,0.0,625.0,0,0,1,0.0,1.0,0.06
11.0,3,4,4.0,3.0,0.0,1946.0,1,0,1,1.0,2.0,1.0
98.0,2,2,3.0,3.0,0.0,1339.0,0,0,1,0.0,0.0,1.0
58.0,2,2,1.0,3.0,0.0,1007.0,0,0,1,0.0,2.0,0.07
101.0,2,3,2.0,1.0,0.0,1226.0,1,0,2,1.0,2.0,0.08
107.0,2,2,3.0,3.0,0.0,990.0,0,0,1,0.0,0.0,0.05
16.0,4,6,4.0,0.0,0.0,3662.34,1,0,2,2.0,0.0,5.0
87.0,3,4,4.0,1.0,0.0,1582.0,1,0,2,0.0,2.0,1.0
62.0,3,3,2.0,0.0,0.0,1700.0,0,0,2,0.0,2.0,1.0
105.0,2,2,2.0,1.0,0.0,1083.0,0,0,2,0.0,1.0,0.07
59.0,4,4,3.0,0.0,0.0,2100.0,0,0,1,0.0,1.0,1.0
30.0,5,5,3.0,0.0,1.0,3618.0,1,0,1,0.0,2.0,10.5
107.0,2,2,2.0,3.0,0.0,716.0,0,0,1,1.0,2.0,0.03
4.0,2,2,1.0,3.0,0.0,582.0,0,1,1,2.0,2.0,0.04
103.0,3,4,4.0,2.0,0.0,1608.0,1,0,0,0.0,1.0,1.0
57.0,4,4,4.0,0.0,1.0,2700.0,1,0,2,1.0,1.0,11.0
31.0,4,5,2.0,0.0,1.0,3240.0,1,0,2,1.0,1.0,12.5
103.0,2,2,3.0,3.0,0.0,1122.0,0,0,1,1.0,2.0,0.06
95.0,3,3,1.0,0.0,0.0,1607.0,0,0,2,1.0,2.0,1.0
30.0,9,9,2.0,3.0,1.0,5800.0,1,1,2,1.0,2.0,7.3
44.0,3,3,3.0,3.0,0.0,1700.0,0,0,1,1.0,2.0,1.0
81.0,3,3,4.0,3.0,1.0,1611.0,0,0,2,1.0,1.0,1.04
92.0,3,4,4.0,3.0,0.0,2513.0,1,0,2,1.0,2.0,2.0
65.0,3,4,2.0,3.0,0.0,2000.0,1,0,2,2.0,2.0,3.0
103.0,2,2,3.0,3.0,0.0,1225.0,0,0,2,0.0,0.0,0.06
70.0,4,6,3.0,3.0,0.0,3872.0,1,0,1,2.0,0.0,8.0
50.0,6,6,3.0,3.0,1.0,1935.0,1,0,2,0.0,1.0,5.8
60.0,3,4,3.0,2.0,0.0,3222.0,1,0,2,0.0,2.0,5.0
74.0,5,6,4.0,3.0,1.0,3150.0,1,1,2,2.0,2.0,12.0
67.0,6,4,0.0,0.0,1.0,240.0,0,0,1,0.0,2.0,1.0
111.0,3,2,2.0,4.0,1.0,1120.0,0,0,1,0.0,1.0,0.85
111.0,1,1,1.0,1.0,0.0,500.0,0,0,1,0.0,0.0,0.02
106.0,3,4,2.0,3.0,0.0,1350.0,0,0,2,1.0,0.0,1.0
67.0,2,2,0.0,3.0,0.0,790.0,0,0,2,0.0,1.0,0.06
95.0,3,3,2.0,0.0,0.0,1700.0,1,0,1,1.0,0.0,1.0
81.0,4,4,4.0,1.0,1.0,2332.0,1,0,2,2.0,1.0,6.5
54.0,3,3,1.0,3.0,0.0,1611.0,0,0,1,1.0,1.0,1.0
50.0,4,4,2.0,2.0,1.0,1935.0,1,0,2,1.0,1.0,5.25
50.0,3,4,4.0,0.0,0.0,2222.0,1,0,2,0.0,2.0,2.0
68.0,4,4,3.0,3.0,0.0,2650.0,1,0,2,0.0,0.0,3.0
105.0,2,2,2.0,3.0,0.0,1109.0,0,0,1,1.0,1.0,0.04
